STATE/UT,YEAR,POPULATION,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,CRIMES AGAINST SC,CRIMES AGAINST ST,Crimes Against Women,TOTAL IPC CRIMES,LITERACY RATE,AREA (in sq. km),CRIMES AGAINST CHILDREN,JUVENILES APPREHENDED,POLICEMEN KILLED,THEFT CASES REPOERTED,THEFT VALUE TOTAL,TOTAL  Dacoity,TOTAL  Robbery,TOTAL  Burglary,TOTAL  Theft,Total Petty Crime,Human Rights Violation Cases,Policemen Chargesheeted,Polimen Charged
ARUNACHAL PRADESH,2006,1207224,60,33,3,37,0,37,75,51,24,28,0,74,257,451,74,377,6,61,38,9,20,415,1,63,2,14,0,82,565,0,27,168,2294,67.36,83743,27,80,0,19243.30935,89649425.71,28,74,257,451,810,0,0,0
ASSAM,2006,28411051,1207,414,32,1244,0,1244,1825,1544,281,319,12,544,2911,7820,1362,6458,2684,461,905,98,488,5290,105,1290,10,2548,0,3022,10444,282,244,6741,43673,79.91,78438,252,539,19,2347.309353,290320935.1,319,544,2911,7820,11594,1,0,0
BIHAR,2006,89008384,3249,3303,326,1232,0,1232,2619,1084,1535,1001,140,2169,3531,11752,2023,9729,8259,1054,2171,97,785,12674,1188,530,53,1689,42,2860,39941,2043,56,5818,100665,60.33,94163,66,228,14,18731.30935,736098636.6,1001,2169,3531,11752,18453,3.650487892,4.810891141,-0.288120252
CHHATTISGARH,2006,22341673,1098,825,15,995,0,995,239,178,61,160,24,439,3507,5262,1623,3639,905,137,507,33,262,6722,103,1598,143,717,1,2239,19246,444,583,3735,45177,73.43,135191,1238,1816,30,10539.30935,233285956.5,160,439,3507,5262,9368,0,0,0
GOA,2006,1469303,39,17,1,21,0,21,16,10,6,7,0,17,252,494,223,271,63,35,55,9,38,170,0,18,7,14,0,233,698,4,0,70,2204,83.44,3702,54,67,0,-17108.69065,-208233148.7,7,17,252,494,770,1,1,0
GUJARAT,2006,53845144,1165,471,24,354,0,354,1128,945,183,290,12,970,5530,18475,7188,11287,1534,1246,1529,196,321,10685,50,736,138,4977,0,4339,66802,995,164,7200,120972,78.26,196024,977,2125,43,18731.30935,1042452318,290,970,5530,18475,25265,15,13,0
HARYANA,2006,23252069,873,585,59,608,0,608,635,431,204,104,224,410,4001,10518,6300,4218,1142,750,1424,35,156,5135,255,486,491,2254,0,1350,19014,283,0,4525,50509,72.39,44212,462,1253,54,-14036.69065,328938647.4,104,410,4001,10518,15033,3.057900423,3.050286127,1.19829454
HIMACHAL PRADESH,2006,6593382,111,78,20,113,0,113,130,109,21,7,0,29,754,812,214,598,566,137,129,4,115,1261,3,275,31,259,0,499,7760,92,17,790,13093,79.3,55673,136,119,1,299.3093525,-81737744.31,7,29,754,812,1602,0,0,0
JAMMU & KASHMIR,2006,10801836,487,854,40,250,0,250,789,723,66,10,0,112,1351,1937,554,1383,1197,123,463,35,203,376,10,960,347,135,0,222,10886,2,0,2425,20787,62.93,222236,85,7,59,47403.30935,300672025.9,10,112,1351,1937,3410,3,3,0
JHARKHAND,2006,28984975,1492,1078,97,799,0,799,635,410,225,536,45,779,1428,6173,1146,5027,2650,319,833,34,178,3055,281,414,44,668,5,1154,13667,333,332,2621,36364,65.06,74677,112,838,25,10539.30935,411235179.8,536,779,1428,6173,8916,1,0,0
KARNATAKA,2006,57656060,1627,1484,68,400,0,400,563,328,235,202,247,1349,5967,14901,5759,9142,6183,471,2910,139,268,19488,244,1683,38,2129,0,534,56815,1730,214,4822,117710,73.51,191791,276,487,9,35115.30935,880770036.7,202,1349,5967,14901,22419,0,0,0
KERALA,2006,33032295,393,347,87,601,0,601,294,202,92,129,125,691,4245,5431,2014,3417,6365,299,3316,68,435,19105,25,2543,222,3708,0,49,56777,364,75,7301,105255,91.86,38852,553,402,1,-14036.69065,-52250252.01,129,691,4245,5431,10496,1,0,0
MADHYA PRADESH,2006,65406766,2309,2370,138,2900,0,2900,808,617,191,151,121,1770,10960,21733,7552,14181,2308,519,1522,38,815,34709,764,6243,762,2989,0,4823,95959,4214,1498,14275,194711,67.39,308245,3939,5936,30,18731.30935,1210029070,151,1770,10960,21733,34614,0,0,0
MAHARASHTRA,2006,104542388,2656,1680,100,1500,1,1499,1261,921,340,663,323,2574,15877,46473,12741,33732,7453,1726,6234,317,1188,29407,387,3479,984,6738,1,10933,49834,1053,267,14010,191788,80.89,307713,2841,5965,99,-30420.69065,2084972731,663,2574,15877,46473,65587,5,3,0
MANIPUR,2006,2544899,205,265,4,40,0,40,130,79,51,2,27,8,55,290,105,185,60,40,82,9,109,296,0,42,0,10,0,3,1207,0,26,171,2884,77.96,22327,54,0,7,-8148.690647,-148923390.2,2,8,55,290,355,0,0,0
MEGHALAYA,2006,2506380,157,42,8,74,0,74,57,25,32,57,4,65,140,470,135,335,7,16,83,7,28,138,6,57,0,13,0,68,438,0,0,175,1935,68.51,22429,71,58,0,4907.309353,-19044666.41,57,65,140,470,732,0,0,0
MIZORAM,2006,937057,25,19,7,72,0,72,6,1,5,7,0,10,422,758,60,698,0,30,78,10,25,72,0,51,0,1,0,26,454,0,0,125,2073,88.49,21081,35,83,1,-19156.69065,-222995750.8,7,10,422,758,1197,0,0,0
NAGALAND,2006,2153336,123,46,8,23,0,23,31,3,28,16,0,84,70,327,113,214,7,18,37,10,16,50,0,3,2,3,0,28,201,5,109,34,1103,69.17,16579,14,3,0,2603.309353,-36777617.08,16,84,70,327,497,0,0,0
ODISHA,2006,40198878,1159,752,36,985,0,985,704,577,127,239,76,1184,3120,6567,1571,4996,1535,313,1364,16,371,6226,457,2415,247,694,12,2945,21375,1153,349,5387,52792,72.58,155707,154,581,12,26923.30935,502865460.6,239,1184,3120,6567,11110,0,0,0
PUNJAB,2006,26123740,817,898,165,442,0,442,591,418,173,35,90,142,2277,3946,1561,2385,3,281,3393,66,68,5104,130,314,60,801,2,2919,9524,184,0,2167,32068,74.48,50362,329,116,99,-5844.690647,-52685516.46,35,142,2277,3946,6400,3.223608294,4.958200338,2.660458367
RAJASTHAN,2006,60567273,1209,1694,79,1085,0,1085,1970,1553,417,37,97,631,5085,17889,7276,10613,1767,694,10191,56,551,21296,394,2582,31,7038,3,6234,61379,3910,967,12686,141992,63.56,342239,951,1908,42,67883.30935,1361122311,37,631,5085,17889,23642,8.873169376,3.658392796,0.532270129
SIKKIM,2006,584845,21,16,2,20,0,20,8,7,1,0,0,9,84,113,8,105,12,10,37,1,1,96,0,14,0,6,0,39,214,2,0,47,703,73.14,7096,35,35,1,683.3093525,-68250882.53,0,9,84,113,206,2.984119945,0.004471423,0.249845682
TAMIL NADU,2006,67970422,1363,1599,20,457,0,457,906,718,188,95,4,450,3300,13651,2877,10774,1838,194,2116,63,460,14067,187,1179,852,1248,0,10792,94131,991,24,4641,148972,78.86,130060,353,743,45,2347.309353,594544130.5,95,450,3300,13651,17496,0,0,0
TRIPURA,2006,3412297,154,52,1,189,0,189,105,62,43,18,1,71,182,392,31,361,154,23,84,12,35,464,35,207,0,471,0,199,1091,14,9,964,3940,80.66,10486,41,0,11,-7892.690647,-134644341.2,18,71,182,392,663,2.851731322,0.239820184,0.66337266
UTTAR PRADESH,2006,183111377,5480,4997,1543,1314,0,1314,3318,2551,767,218,86,2024,4577,20447,9621,10826,3774,2509,5142,278,299,10412,1798,2096,2714,5204,0,7235,41536,4960,11,15677,127001,66.86,240928,1767,153,123,18731.30935,937258446.6,218,2024,4577,20447,27266,0,0,0
UTTARAKHAND,2006,8939553,274,215,40,147,0,147,212,183,29,31,2,157,470,1696,525,1171,489,95,514,14,39,854,80,153,113,358,0,524,1935,68,1,1034,8412,74.92,53566,51,101,6,6443.309353,56274306.71,31,157,470,1696,2354,3.677276563,0.536717914,0.295443827
WEST BENGAL,2006,85381521,1425,672,401,1731,0,1731,1355,1199,156,177,1263,426,601,12532,2714,9818,2385,519,1947,135,111,6299,445,1837,63,7414,1,3039,23274,13,7,12690,68052,71.54,88752,432,112,25,-5844.690647,498474677.6,177,426,601,12532,13736,1,1,0
A & N ISLANDS,2006,438982,4,4,1,6,0,6,5,5,0,0,0,5,82,101,6,95,10,3,15,4,9,78,0,14,4,7,0,2,322,0,17,36,676,81.92,8249,9,1872.142939,0,-20820.69065,2364370.93,0,5,82,101,188,2.47258923,13.6114343,6.614341706
CHANDIGARH,2006,1007778,12,21,8,19,0,19,65,57,8,1,3,34,189,1234,529,705,44,59,232,3,5,55,10,20,13,102,0,14,983,2,0,221,3126,83.07,114,64,104,2,-20180.69065,-184235565.5,1,34,189,1234,1458,0,0,0
D & N HAVELI,2006,237726,9,0,1,6,0,6,18,14,4,5,0,5,41,61,13,48,8,30,10,1,5,35,1,5,1,5,0,16,172,2,1,32,435,70.13,491,15,9,0,2539.309353,-52353839.83,5,5,41,61,112,2.862602513,0.101887911,0.145929385
DAMAN & DIU,2006,172822,6,3,0,3,0,3,3,1,2,8,0,1,60,63,33,30,24,9,3,4,5,18,0,2,0,2,0,26,48,1,0,8,288,90.68,112,3,5,0,-20180.69065,-253210261.8,8,1,60,63,132,2.621613366,-0.896210964,0.569151406
LAKSHADWEEP,2006,66390,0,2,0,0,0,0,0,0,0,0,0,0,2,17,1,16,12,0,0,0,4,5,0,0,0,1,0,0,37,0,0,1,80,87.79,32,0,0,0,-17172.69065,-226216597.1,0,0,2,17,19,2.623562333,-0.745562298,0.510244968
PUDUCHERRY,2006,1050145,30,24,3,9,0,9,18,13,5,2,0,3,84,560,320,240,194,6,36,2,22,927,3,56,39,19,0,209,2441,14,0,139,4687,82.21,479,25,36,0,-11476.69065,-147985120.3,2,3,84,560,649,2.579551544,-0.467118294,0.347840964
ANDHRA PRADESH,2007,85475214,2665,1885,135,1070,0,1070,2097,1564,533,170,6,614,7677,24391,6183,18208,1998,869,8103,224,1176,46122,613,4406,3316,11335,0,12629,43586,3383,753,22304,175087,69.97,275045,1499,1801,39,35115.30935,1237479901,170,614,7677,24391,32852,0,0,0
ARUNACHAL PRADESH,2007,1230150,68,29,2,48,0,48,68,44,24,16,0,75,240,513,116,397,16,41,33,10,22,375,0,72,1,20,0,82,555,0,32,185,2286,69.96,83743,4,105,0,15659.30935,69601722.63,16,75,240,513,844,0,0,0
ASSAM,2007,28771642,1374,451,109,1437,0,1437,1971,1471,500,299,12,496,2603,7754,1982,5772,2601,653,895,115,380,5175,100,789,10,3000,0,2875,12183,126,49,6807,45282,83.24,78438,167,1155,31,-14036.69065,246919503.9,299,496,2603,7754,11152,5,0,0
BIHAR,2007,90234986,3034,3113,257,1555,0,1555,2530,1260,1270,686,78,1787,3259,11795,2392,9403,7962,1326,2358,79,865,16288,1172,853,12,1635,56,3789,44931,2786,65,6543,109420,63,94163,675,1396,27,18731.30935,820570670.5,686,1787,3259,11795,17527,2,0,0
CHHATTISGARH,2007,22677703,1097,747,26,982,0,982,244,181,63,115,13,427,3632,5381,1814,3567,881,150,467,64,253,6801,100,1549,111,824,0,2476,19505,511,615,3747,45845,75.19,135191,1024,1576,80,2347.309353,151683538.5,115,427,3632,5381,9555,0,0,0
GOA,2007,1495234,33,23,7,20,0,20,12,7,5,7,0,22,292,494,207,287,70,36,55,10,24,150,2,20,7,14,0,247,934,0,0,70,2479,83.73,3702,70,76,0,-16596.69065,-205793030.2,7,22,292,494,815,1,0,0
GUJARAT,2007,54495413,1166,494,21,316,0,316,1312,1089,223,245,10,1095,4870,18164,8022,10142,1668,1139,1116,286,330,10989,42,822,120,5827,0,4831,68332,1040,156,8216,123195,80.09,196024,1110,2276,47,-14036.69065,791891092.8,245,1095,4870,18164,24374,21,20,0
HARYANA,2007,23693466,911,592,72,488,0,488,801,554,247,139,266,502,4231,11047,6499,4548,1173,726,1232,33,142,5031,269,417,409,2412,0,1545,19159,227,0,4549,51597,73.29,44212,325,1457,36,-5844.690647,473389375.3,139,502,4231,11047,15919,0,0,0
HIMACHAL PRADESH,2007,6704121,127,57,9,159,0,159,171,150,21,5,0,23,877,1092,264,828,649,132,212,11,141,1318,8,322,33,342,0,597,7937,91,2,1014,14222,79.87,55673,151,145,7,-1748.690647,-89496090.85,5,23,877,1092,1997,0,0,0
JAMMU & KASHMIR,2007,10945518,318,669,23,288,0,288,758,707,51,18,0,111,1460,2086,514,1572,1209,121,489,31,186,374,9,986,353,176,0,243,11535,1,0,2519,21443,64.42,222236,26,15,27,49451.30935,332503034.6,18,111,1460,2086,3675,6,7,0
JHARKHAND,2007,29405081,1617,1076,92,855,0,855,762,534,228,524,40,771,1495,7091,1784,5307,2565,448,814,19,160,3783,303,342,15,801,0,1019,13897,538,268,2850,38489,67.36,74677,74,467,12,10539.30935,412877533.1,524,771,1495,7091,9881,3.585475566,1.650757407,0.330570345
KARNATAKA,2007,58683312,1538,1251,55,436,1,435,680,390,290,178,242,1313,5449,14351,5887,8464,5783,400,3600,124,262,18963,251,1828,28,2507,0,514,60853,1844,205,5440,120606,75,191791,266,504,25,35115.30935,875166732.1,178,1313,5449,14351,21291,2,0,0
KERALA,2007,33267388,367,402,92,512,0,512,255,177,78,121,157,869,4100,5609,2113,3496,7358,394,4215,54,398,18975,27,2624,262,3999,0,59,57681,477,88,7601,108530,92.06,38852,487,630,17,-22228.69065,-47330557.34,121,869,4100,5609,10699,1,0,0
MADHYA PRADESH,2007,66436176,2244,2423,155,3010,0,3010,922,701,221,143,109,1975,11230,22396,8915,13481,2648,531,1661,38,909,36643,742,6772,780,3294,0,5754,98007,4106,1501,15299,202386,68.12,308245,4290,6407,41,2347.309353,1137649542,143,1975,11230,22396,35744,0,0,0
MAHARASHTRA,2007,106106893,2693,1615,113,1451,0,1451,1312,967,345,716,405,2770,15607,47681,13895,33786,7993,1715,6235,270,1267,29622,436,3306,1039,7356,0,11946,50159,1166,239,14555,195707,81.7,307713,2707,6246,77,-63188.69065,1949419936,716,2770,15607,47681,66774,2,1,0
MANIPUR,2007,2594543,240,377,2,20,0,20,150,83,67,3,146,11,70,454,150,304,70,19,93,4,63,377,0,70,0,15,0,1,1074,0,1,188,3259,79.46,22327,49,0,0,-8916.690647,-145917799.8,3,11,70,454,538,0,0,0
MEGHALAYA,2007,2545191,114,49,8,82,0,82,52,22,30,55,1,56,203,500,91,409,33,17,164,12,36,124,2,45,1,19,0,68,438,0,0,171,2079,69.7,22429,71,105,1,1835.309353,-42020420.36,55,56,203,500,814,0,0,0
MIZORAM,2007,947443,43,21,4,83,0,83,4,0,4,0,0,5,457,808,64,744,1,20,66,16,38,85,0,66,0,2,0,34,330,0,0,151,2083,88.49,21081,64,80,11,-22228.69065,-253783720.3,0,5,457,808,1270,0,0,0
NAGALAND,2007,2187666,111,50,8,13,0,13,17,6,11,7,0,75,118,360,194,166,15,13,34,8,5,52,0,8,1,0,0,43,242,0,0,28,1180,69.68,16579,7,0,1,2091.309353,-41751362.48,7,75,118,360,560,0,0,0
ODISHA,2007,40894427,1210,1105,22,939,0,939,801,660,141,247,42,1273,3073,6830,1733,5097,1983,319,1263,30,411,7478,461,2775,241,728,0,3771,19870,1355,394,5804,54872,74.48,155707,201,627,2,26923.30935,531580716.8,247,1273,3073,6830,11423,0,0,0
PUNJAB,2007,26489497,760,893,170,519,0,519,760,545,215,37,92,138,2616,5173,2084,3089,1,329,3581,68,96,5663,133,427,48,971,0,2801,10517,177,0,2643,35793,75.45,50362,527,105,94,2347.309353,46089205.68,37,138,2616,5173,7964,3.480880681,4.442202375,2.496807937
RAJASTHAN,2007,61384743,1303,1772,64,1238,0,1238,2177,1694,483,71,81,778,5164,19345,8258,11087,1626,825,11919,56,675,19720,439,2477,28,8170,0,7096,63846,4174,1110,14046,148870,64.19,342239,1252,1969,51,51499.30935,1279423185,71,778,5164,19345,25358,8.687598654,2.953667714,0.505083412
SIKKIM,2007,594286,9,14,3,24,0,24,9,9,0,0,0,6,83,118,11,107,15,7,34,3,1,95,0,13,0,7,0,34,192,10,13,53,667,74,7096,31,90,5,-1108.690647,-76264268.93,0,6,83,118,207,2.915225557,0.1795392,0.430462174
TAMIL NADU,2007,69127905,1633,2078,28,523,0,523,1270,1097,173,88,33,495,3717,13217,2901,10316,2375,261,2510,74,653,16967,208,1540,875,1976,0,11485,110748,1743,17,6219,172754,79.95,130060,441,840,52,2347.309353,559700494,88,495,3717,13217,17517,0,0,0
TRIPURA,2007,3455537,138,58,2,157,0,157,113,81,32,14,2,64,193,411,55,356,142,42,85,10,23,546,36,244,4,545,0,203,1241,8,6,1067,4273,82.16,10486,63,2,13,-16084.69065,-209757330.4,14,64,193,411,682,0,0,0
UTTAR PRADESH,2007,186710710,5000,4424,1616,1648,0,1648,4478,3363,1115,437,82,2169,5057,22816,10859,11957,4495,3639,8399,337,268,10694,2076,2522,2882,7650,0,7655,51914,6144,4,20141,150258,68.76,240928,2248,414,142,51499.30935,1314271470,437,2169,5057,22816,30479,22,9,0
UTTARAKHAND,2007,9031565,268,228,50,117,0,117,253,227,26,46,6,173,548,1593,565,1028,459,163,697,39,37,886,70,146,63,463,0,608,2686,71,1,1086,9599,75.58,53566,101,116,6,8491.309353,61917412.73,46,173,548,1593,2360,3.923774348,0.19162738,0.322737226
WEST BENGAL,2007,86379158,1652,877,394,2106,0,2106,1800,1590,210,146,1150,427,399,13747,2421,11326,3727,672,2406,127,121,6909,451,2281,99,9900,5,3803,27903,4,5,16432,81102,72.12,88752,361,100,11,-5844.690647,585254277,146,427,399,13747,14719,2,0,0
A & N ISLANDS,2007,456517,15,19,1,3,0,3,12,9,3,5,0,9,90,112,8,104,17,7,23,1,11,99,1,21,2,18,0,4,337,0,1,54,807,82.04,8249,10,1872.140846,0,-20820.69065,2535268.916,5,9,90,112,216,2.485473148,13.58707297,6.617633184
CHANDIGARH,2007,1029935,19,26,8,22,0,22,52,46,6,2,0,37,191,1740,853,887,79,38,170,2,9,78,1,32,11,112,0,15,999,0,0,224,3643,83.3,114,53,115,0,-17108.69065,-126076842.2,2,37,191,1740,1970,2.308619559,-0.478912279,0.285545735
D & N HAVELI,2007,241242,10,2,0,7,0,7,9,6,3,1,0,3,28,87,19,68,39,17,10,1,10,25,0,0,0,3,0,12,161,0,3,16,425,72.63,491,11,11,0,-468.6906475,-75995636.95,1,3,28,87,119,2.823858938,-0.032827082,0.191415497
DAMAN & DIU,2007,175886,12,7,0,1,0,1,1,1,0,3,1,2,46,43,28,15,31,5,6,6,3,20,1,0,0,3,0,32,37,0,3,6,260,93.18,112,3,14,0,-23060.69065,-277234643.8,3,2,46,43,94,2.588046541,-1.015642288,0.626618546
LAKSHADWEEP,2007,67655,0,2,0,1,0,1,0,0,0,0,0,0,2,20,2,18,1,0,0,0,0,0,0,2,0,2,0,0,26,0,1,5,56,88.02,32,0,0,0,-17412.69065,-228167718.4,0,0,2,20,22,2.621465934,-0.759885924,0.514256721
PUDUCHERRY,2007,1066029,34,42,2,9,0,9,20,14,6,1,2,8,86,787,498,289,145,6,45,1,18,904,2,89,32,17,0,267,2537,25,0,163,5054,82.41,479,23,62,0,-11988.69065,-135606850.7,1,8,86,787,882,2.644897689,-0.62636142,0.346641303
ANDHRA PRADESH,2008,87064434,2690,1942,165,1257,0,1257,1970,1396,574,110,11,623,8332,25362,7297,18065,1930,990,8393,379,1021,48167,556,4730,3551,10306,0,12861,43929,3998,750,21796,179275,71.26,275045,1321,1516,30,18731.30935,1102809026,110,623,8332,25362,34427,0,0,0
ARUNACHAL PRADESH,2008,1253428,72,37,2,42,0,42,79,47,32,14,0,79,245,445,60,385,18,43,28,1,10,479,0,72,1,13,0,104,590,0,63,175,2374,72.57,83743,24,85,0,13099.30935,38615078.31,14,79,245,445,783,0,0,0
ASSAM,2008,29135569,1426,417,71,1438,0,1438,2239,1789,450,312,74,568,3147,8012,2101,5911,2600,680,996,91,443,6107,103,1272,2,3478,0,2259,17598,104,130,8082,53333,86.57,78438,183,642,4,2347.309353,317309872.3,312,568,3147,8012,12039,5,0,0
BIHAR,2008,91469847,3139,2954,386,1302,0,1302,3047,1789,1258,686,60,1592,3414,13206,2675,10531,8099,1352,2741,69,772,16644,1210,999,21,1992,22,4592,54370,3617,99,7335,122669,65.67,94163,766,1163,38,2347.309353,677578514.4,686,1592,3414,13206,18898,0,0,0
CHHATTISGARH,2008,23018591,1169,736,18,978,0,978,273,216,57,124,17,500,4112,6079,2122,3957,1144,169,562,71,302,8565,106,1621,125,897,0,2800,21074,384,424,3943,51442,76.94,135191,1167,2836,39,354603.3094,3461743649,124,500,4112,6079,10815,233,1,8
GOA,2008,1521706,49,25,11,30,0,30,36,28,8,3,0,23,302,601,238,363,102,47,105,22,27,185,2,32,12,12,0,230,886,4,1,116,2742,84.01,3702,80,66,0,929,72819671,3,23,302,601,929,2.329662196,-0.87462811,0.254696285
GUJARAT,2008,55144715,1106,487,35,374,0,374,1323,1119,204,256,14,1322,5053,20715,9947,10768,1809,1167,1167,190,363,10897,27,828,122,6094,0,4934,65525,1231,223,8564,123808,81.91,196024,1074,2142,50,-14036.69065,933055016.3,256,1322,5053,20715,27346,6,6,0
HARYANA,2008,24141996,921,616,92,631,0,631,854,644,210,120,257,555,4249,12709,7674,5035,1184,763,1150,40,139,4504,302,435,605,2435,0,1323,21460,341,0,5052,55344,74.18,44212,269,1524,29,2347.309353,661227601.6,120,555,4249,12709,17633,0,0,0
HIMACHAL PRADESH,2008,6817502,129,59,5,157,0,157,151,137,14,6,0,20,885,1152,332,820,627,137,248,11,127,1258,3,295,41,343,0,485,7837,71,0,976,13976,80.43,55673,205,162,1,-2772.690647,-99614518.38,6,20,885,1152,2063,0,0,0
JAMMU & KASHMIR,2008,11093300,237,570,31,219,0,219,704,656,48,3,0,67,1347,2198,689,1509,1782,87,392,23,230,273,21,935,296,162,0,293,10734,0,0,2289,20604,65.9,222236,10,11,27,47403.30935,321758910.9,3,67,1347,2198,3615,0,0,0
JHARKHAND,2008,29829238,1697,1061,112,791,0,791,792,499,293,416,50,761,1375,7269,2165,5104,2576,269,900,24,164,2826,266,271,23,851,39,1310,14843,598,231,2740,38686,69.66,74677,71,478,42,10539.30935,436197782.1,416,761,1375,7269,9821,4.304810033,1.612698081,1.223444528
KARNATAKA,2008,59723561,1698,1475,81,446,0,446,758,405,353,270,248,1615,6258,17820,8960,8860,6013,424,3669,118,265,19159,259,1954,44,2638,1,572,61755,2392,400,5747,127540,76.49,191791,388,470,23,35115.30935,1037769312,270,1615,6258,17820,25963,2,0,0
KERALA,2008,33501597,362,434,95,568,0,568,253,166,87,91,267,816,3882,5818,1981,3837,8057,435,3659,46,389,19178,31,2745,258,4138,0,37,59061,519,106,7906,110620,92.26,38852,549,719,8,-14036.69065,49013925.32,91,816,3882,5818,10607,2,0,0
MADHYA PRADESH,2008,67471784,2322,2282,204,2937,0,2937,929,736,193,160,124,2234,11072,24583,10533,14050,2768,570,1368,47,898,36344,805,6445,758,3185,0,6008,100513,2965,1071,14866,206556,68.85,308245,4259,6325,23,35115.30935,1579754999,160,2234,11072,24583,38049,11.75715014,-1.875993162,1.537799735
MAHARASHTRA,2008,107689875,2795,1837,111,1558,0,1558,1379,998,381,811,274,3031,16004,52860,16900,35960,9388,1880,7296,405,1288,29742,390,3619,1091,7829,0,12472,50183,1192,268,15485,206243,82.51,307713,2709,6580,87,72706,5157062253,811,3031,16004,52860,72706,3,3,0
MANIPUR,2008,2644609,187,498,4,38,0,38,176,87,89,1,212,7,76,446,223,223,48,24,161,3,41,301,1,57,0,28,0,2,1038,0,1,211,3349,80.96,22327,89,0,1,-10196.69065,-163011794.6,1,7,76,446,530,0,0,0
MEGHALAYA,2008,2584434,126,55,6,88,0,88,56,25,31,63,0,65,168,669,137,532,8,32,104,10,28,204,2,54,4,32,0,64,480,0,0,205,2318,70.89,22429,62,131,3,299.3093525,-39670757.86,63,65,168,669,965,0,0,0
MIZORAM,2008,958060,35,10,6,77,0,77,9,1,8,4,0,6,338,747,27,720,1,34,57,15,18,118,0,78,0,5,0,53,378,0,0,161,1989,88.49,21081,22,59,4,-20180.69065,-230971313.8,4,6,338,747,1095,0,0,0
NAGALAND,2008,2222580,143,47,13,19,0,19,44,7,37,6,0,87,127,345,182,163,4,16,31,4,14,46,0,15,1,4,0,44,192,0,0,46,1202,70.2,16579,3,0,0,1323.309353,-47666954.35,6,87,127,345,565,0,0,0
ODISHA,2008,41595708,1250,1415,84,1113,0,1113,908,762,146,305,67,1345,3100,7419,1975,5444,2721,342,1244,26,869,7013,401,2782,282,1618,0,3535,18916,1836,508,6958,56755,76.38,155707,141,754,15,12169,480069320,305,1345,3100,7419,12169,0,0,0
PUNJAB,2008,26859458,769,956,146,517,0,517,718,514,204,40,122,167,2621,5563,2182,3381,1,236,3192,78,75,5597,128,388,49,984,0,2845,10122,101,0,2580,35314,76.42,50362,389,102,89,2347.309353,86663125.26,40,167,2621,5563,8391,3.787630077,3.365826405,2.13135745
RAJASTHAN,2008,62203866,1297,1649,54,1355,0,1355,2358,1863,495,64,77,829,4736,20411,9857,10554,1390,737,12097,51,615,21117,439,2520,19,8113,0,7322,63924,4302,1038,14309,151174,64.82,342239,1223,2214,48,51499.30935,1402795468,64,829,4736,20411,26040,8.478861322,1.895780571,0.349477479
SIKKIM,2008,603951,9,7,3,20,0,20,4,4,0,1,0,7,81,127,9,118,17,6,46,0,23,100,0,19,0,5,0,40,215,17,12,48,730,74.87,7096,24,33,0,216,9093796,1,7,81,127,216,2.397306525,-0.647242672,0.025371348
TAMIL NADU,2008,70299260,1759,2327,28,573,0,573,1375,1160,215,100,66,662,3849,15019,3722,11297,2811,231,2349,599,610,20529,207,1705,974,1648,0,12328,107084,1618,14,6267,176833,81.03,130060,666,984,46,-14036.69065,520724482.3,100,662,3849,15019,19630,4.838560164,0.002514847,0.153629242
TRIPURA,2008,3499008,155,53,2,204,0,204,146,110,36,13,3,95,218,499,43,456,197,42,92,23,47,924,16,346,4,735,0,195,1327,4,14,1415,5336,83.65,10486,163,43,2,-10964.69065,-161938133.7,13,95,218,499,825,2.771045471,-0.193150828,0.496799186
UTTAR PRADESH,2008,190386511,4564,4233,1493,1871,0,1871,5428,4439,989,313,76,2097,5418,25946,12064,13882,4381,4296,9327,420,228,11683,2237,2955,3374,8312,0,10102,60242,8009,9,23188,168996,70.66,240928,4078,328,118,18731.30935,953329524.9,313,2097,5418,25946,33774,1,3,0
UTTARAKHAND,2008,9124245,223,217,40,87,0,87,247,222,25,16,2,144,423,1622,726,896,509,171,463,31,15,937,73,120,306,340,0,590,2280,42,0,1148,8856,76.24,53566,38,122,6,5419.309353,49532387.96,16,144,423,1622,2205,3.782523074,0.221046389,0.30951157
WEST BENGAL,2008,87363895,1811,1732,488,2263,0,2263,2332,1907,425,184,1055,613,462,17334,2593,14741,5425,876,2938,148,150,9033,451,2396,94,13663,5,3789,38177,19,17,20779,105419,72.7,88752,513,660,16,18593,556054907,184,613,462,17334,18593,0,0,0
